ticker;quarter;time;date
WY;"Q4-2025";AMC;29-Jan-2026
DOW;"Q4-2025";BMO;29-Jan-2026
HOLX;"Q1-2026";AMC;29-Jan-2026
CRS;"Q2-2026";BMO;29-Jan-2026
BIP;"Q4-2025";BMO;29-Jan-2026
DECK;"Q3-2026";AMC;29-Jan-2026
DT;"Q3-2026";BMO;29-Jan-2026
AOS;"Q4-2025";BMO;29-Jan-2026
OSK;"Q4-2025";BMO;29-Jan-2026
CFR;"Q4-2025";BMO;29-Jan-2026
PFSI;"Q4-2025";AMC;29-Jan-2026
VIRT;"Q4-2025";BMO;29-Jan-2026
EMN;"Q4-2025";AMC;29-Jan-2026
APPF;"Q4-2025";AMC;29-Jan-2026
EXP;"Q3-2026";BMO;29-Jan-2026
KEX;"Q4-2025";BMO;29-Jan-2026
VLY;"Q4-2025";BMO;29-Jan-2026
TAL;"Q3-2026";BMO;29-Jan-2026
ALGM;"Q3-2026";BMO;29-Jan-2026
DLB;"Q1-2026";AMC;29-Jan-2026
BC;"Q4-2025";BMO;29-Jan-2026
CVCO;"Q3-2026";AMC;29-Jan-2026
ABCB;"Q4-2025";AMC;29-Jan-2026
CSW;"Q3-2026";BMO;29-Jan-2026
BIPC;"Q4-2025";BMO;29-Jan-2026
CNX;"Q4-2025";BMO;29-Jan-2026
AX;"Q2-2026";AMC;29-Jan-2026
SNDR;"Q4-2025";AMC;29-Jan-2026
GPI;"Q4-2025";BMO;29-Jan-2026
CACC;"Q4-2025";AMC;29-Jan-2026
SIGI;"Q4-2025";AMC;29-Jan-2026
LAZ;"Q4-2025";BMO;29-Jan-2026
OSIS;"Q2-2026";AMC;29-Jan-2026
FHI;"Q4-2025";AMC;29-Jan-2026
TFSL;"Q1-2026";AMC;29-Jan-2026
SKYW;"Q4-2025";AMC;29-Jan-2026
SBCF;"Q4-2025";AMC;29-Jan-2026
BFH;"Q4-2025";BMO;29-Jan-2026
TBBK;"Q4-2025";AMC;29-Jan-2026
SXI;"Q2-2026";AMC;29-Jan-2026
DXC;"Q3-2026";AMC;29-Jan-2026
OLN;"Q4-2025";AMC;29-Jan-2026
HTH;"Q4-2025";AMC;29-Jan-2026
MTX;"Q4-2025";AMC;29-Jan-2026
MXL;"Q4-2025";AMC;29-Jan-2026
ORC;"Q4-2025";AMC;29-Jan-2026
MAN;"Q4-2025";BMO;29-Jan-2026
CNOB;"Q4-2025";BMO;29-Jan-2026
PMT;"Q4-2025";AMC;29-Jan-2026
SBSI;"Q4-2025";BMO;29-Jan-2026
JBSS;"Q2-2026";AMC;29-Jan-2026
SCSC;"Q2-2026";BMO;29-Jan-2026
VSTS;"Q1-2026";AMC;29-Jan-2026
BZH;"Q1-2026";AMC;29-Jan-2026
SXC;"Q4-2025";BMO;29-Jan-2026
FISI;"Q4-2025";AMC;29-Jan-2026
HZO;"Q1-2026";BMO;29-Jan-2026
AROW;"Q4-2025";BMO;29-Jan-2026
PGC;"Q4-2025";AMC;29-Jan-2026
XOM;"Q4-2025";BMO;30-Jan-2026
CVX;"Q4-2025";BMO;30-Jan-2026
AXP;"Q4-2025";BMO;30-Jan-2026
VZ;"Q4-2025";BMO;30-Jan-2026
SMFG;"Q3-2025";TNS;30-Jan-2026
REGN;"Q4-2025";BMO;30-Jan-2026
AON;"Q4-2025";BMO;30-Jan-2026
CL;"Q4-2025";BMO;30-Jan-2026
CNI;"Q4-2025";BMO;30-Jan-2026
APD;"Q1-2026";BMO;30-Jan-2026
IMO;"Q4-2025";BMO;30-Jan-2026
SOFI;"Q4-2025";BMO;30-Jan-2026
NMR;"Q3-2026";BMO;30-Jan-2026
CHTR;"Q4-2025";BMO;30-Jan-2026
CHD;"Q4-2025";BMO;30-Jan-2026
BEP;"Q4-2025";BMO;30-Jan-2026
LYB;"Q4-2025";BMO;30-Jan-2026
BSAC;"Q4-2025";BMO;30-Jan-2026
BEN;"Q1-2026";BMO;30-Jan-2026
ALV;"Q4-2025";BMO;30-Jan-2026
JHG;"Q4-2025";BMO;30-Jan-2026
BEPC;"Q4-2025";BMO;30-Jan-2026
FLG;"Q4-2025";BMO;30-Jan-2026
GNTX;"Q4-2025";BMO;30-Jan-2026
FHB;"Q4-2025";BMO;30-Jan-2026
MCHB;"Q4-2025";BMO;30-Jan-2026
BBU;"Q4-2025";BMO;30-Jan-2026
WT;"Q4-2025";BMO;30-Jan-2026
ARCB;"Q4-2025";BMO;30-Jan-2026
STEL;"Q4-2025";BMO;30-Jan-2026
TMP;"Q4-2025";BMO;30-Jan-2026
OPY;"Q4-2025";BMO;30-Jan-2026
